title,store,original_price,current_price,unit_price,unit,image_url
"JOGURTS LAKTO PROTEIN MANGO, MARAKUJA, ČIA SĒKLU 200G",etop.lv,1.35 € - 1.39 €,0.99,4.95,€/kg,https://cdn.etop.lv/products/4750025001914-328x328.png
ŠAMPŪNS DUŠAS ŽELEJA HIPP BABYSANFT 2IN1 400ML,etop.lv,4.85 € - 5.25 €,4.15,10.38,€/l,https://cdn.etop.lv/products/42241317-328x328.png
ŠAMPŪNS HIPP BABYSANFT ZĪDAIŅIEM 0+ 200ML,etop.lv,3.79 € - 4.19 €,3.09,15.45,€/l,https://cdn.etop.lv/products/4062300419377-328x328.png
BIEZENIS HIPP ĀBOLU DZELTENO PLŪMJU PERSIKU 12+ 100G,etop.lv,1.65 € - 1.85 €,1.25,12.50,€/kg,https://cdn.etop.lv/products/4062300342811-328x328.png
BIEZENIS HIPP ĀBOLU PERSIKU BANĀNU AR CEPUMIEM 12+ 100G,etop.lv,1.65 € - 1.85 €,1.25,12.50,€/kg,https://cdn.etop.lv/products/4062300319820-328x328.png
BIEZENIS HIPP BURKĀNI AR RĪSIEM UN TEĻA GAĻU 4+ 190G,etop.lv,2.25 € - 2.45 €,1.85,9.74,€/kg,https://cdn.etop.lv/products/9062300122722-328x328.png
BIEZPUTRA PIENA HIPP MANNAS AR BANĀNIEM NO 4+ 190G,etop.lv,1.85 € - 2.05 €,1.45,7.63,€/kg,https://cdn.etop.lv/products/9062300133018-328x328.png
NŪDELES REEVA AR ASO VISTAS GAĻAS BULJONU MĀJAS GAUMĒ 60G,etop.lv,0.74 € - 0.94 €,0.44,7.33,€/kg,https://cdn.etop.lv/products/4820179256932-328x328.png
NŪDELES REEVA AR VISTAS GAĻAS BULJONU MĀJAS GAUMĒ 60G,etop.lv,0.74 € - 0.94 €,0.44,7.33,€/kg,https://cdn.etop.lv/products/4820179256918-328x328.png
VEĻAS MAZG.KAPSULAS ARIEL  COLOR 12GAB,etop.lv,7.59 € - 8.49 €,6.59,,,https://cdn.etop.lv/products/8006530202244-328x328.png
NAGETI TIP TOP CĀĻA FILEJAS 300G,etop.lv,2.49 € - 2.49 €,1.89,6.30,€/kg,https://cdn.etop.lv/products/4751023453897-328x328.png
PAPĪRA DVIELIS RUTA SELECTA MEGA ROLL 3KĀRTAS 1RUL.175LAPAS,etop.lv,1.89 € - 2.09 €,1.49,,,https://cdn.etop.lv/products/4820023745643-328x328.png
NŪDELES HAO HAO AR GARNEĻU ČILLI LAIMA GARŠU 78G,etop.lv,0.79 € - 0.99 €,0.49,6.28,€/kg,https://cdn.etop.lv/products/8934563709150-328x328.png
ATKR.MAISI TIP TOP 35L 10GAB 30MKR LDPE MELNI 52X72CM,etop.lv,,0.99,0.03,€/l,https://cdn.etop.lv/products/4751023453705-328x328.png
ATKR.MAISI TIP TOP 60L 10GAB 30MKR LDPE MELNI 60X78CM,etop.lv,,1.19,0.02,€/l,https://cdn.etop.lv/products/4751023453712-328x328.png
ZEFĪRS TIP TOP GLAZĒTS AR VANIĻAS GARŠU 180G,etop.lv,,1.99,11.06,€/kg,https://cdn.etop.lv/products/4751023453699-328x328.png
SKUVEKLIS GILLETTE MACH3 +2 KASETES,etop.lv,12.99 € - 14.19 €,8.39,,,https://cdn.etop.lv/products/7702018020676-328x328.png
LŪPU BALZAMS VASELINE ROSY 4.8G,etop.lv,,3.99,831.25,€/kg,https://cdn.etop.lv/products/6291105153270-328x328.png
GURĶI GREENE MARINĒTI 3-6CM 350G,etop.lv,1.41 € - 1.99 €,1.29,3.69,€/kg,https://cdn.etop.lv/products/8697461160880-328x328.png
